SST,pCO2
22.659,367.184
22.585,368.854
22.565,369.567
22.581,370.409
22.568,371.36
22.549,369.428
22.512,369.042
22.55,368.498
22.574,367.388
22.589,366.925
22.58,366.762
22.551,366.764
22.532,366.204
22.515,365.798
22.51,364.925
22.495,365.305
22.496,365.955
22.507,366.916
22.516,365.243
22.511,364.558
22.607,366.823
22.598,366.971
22.586,366.23
22.582,367.636
22.573,367.954
22.568,367.861
22.563,366.859
22.581,368.328
22.597,368.166
22.627,368.618
22.644,368.624
22.664,366.772
22.692,367.322
22.686,366.785
22.69,366.21
22.659,364.808
22.642,366.098
22.613,366.578
22.614,367.269
22.599,372.154
22.595,371.552
22.592,371.565
22.594,373.308
22.591,372.5
22.588,371.895
22.601,371.718
22.563,371.266
22.511,370.4
22.452,369.36
22.433,369.221
22.461,367.931
22.505,368.745
22.523,369.25
22.534,368.153
22.548,366.478
22.567,367.039
22.581,366.839
22.587,366.963
22.591,366.8
22.58,368.299
22.562,368.612
22.57,368.061
22.555,366.26
22.569,367.772
22.591,366.835
22.608,367.212
22.614,365.623
22.611,365.341
22.603,365.876
